tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
220200068,371.5352290971728,2.3121267598751136,10.385886068829414,77.60478934375128,3.133775441028862e+18,99.3471288857065,7.37188308994722,0.735098,15.7871,17.399,0.078,16.7604,0.0461,14.79,0.045,14.291,0.042,14.29,0.081,16.4493,0.001035,17.0181,0.010863,15.7359,0.00156,13.972,0.026,13.953,0.042,11.659,,8.427,,Theia4359,371.5352290971728,Kounkel2020,5532.0,0.926231,0.97,[15],1,,,,,,,,,0,,0,,0,,0
41618964,169.8243652461746,3.016296375575891,6.34477515547986,58.51213740727044,5.978029945538854e+18,256.404834004882,-34.7915900860673,2.14609,15.7157,20.37,0.163,17.9014,0.0481,14.034,0.032,13.305,0.021,13.066,0.03,16.9701,0.001534,18.0308,0.017694,15.7537,0.004845,12.965,0.044,13.348,0.052,12.001,,9.064,,Theia325,169.8243652461746,Kounkel2020,3563.0,0.661634,0.635776,[22],1,,,,,,,,,0,,0,,0,,0
114769188,61.65950018614822,26.86975931400633,1.1637054236153883,31.51864270654272,4.0938839709486326e+18,272.713460689879,-21.1910361872708,0.454791,15.0022,17.344,0.058,15.88,0.172,13.88,0.045,13.56,0.076,13.447,0.073,15.6587,0.000832,16.2027,0.00538,14.9229,0.003554,,,,,,,,,Theia2091,61.65950018614822,Kounkel2020,6815.0,1.96227,1.47,[11],1,,,,,,,,,0,,0,,0,,0
318558860,512.8613839913659,1.4515600880718724,3.69720647115548,5.069844339834969,3.048910185795934e+18,109.711962872653,-7.51783834080212,0.702602,15.3937,16.942,0.117,15.955,0.126,14.664,0.039,14.265,0.053,14.144,0.073,15.9005,0.00067,16.3061,0.003544,15.3333,0.002639,14.218,0.027,14.397,0.043,12.258,,9.1,,Theia4991,512.8613839913659,Kounkel2020,5603.0,0.916448,0.99,[2],1,5.069844339834969,1.4515600880718724,0.0002099377602511653,0.011527881971980382,0.026081191130483565,85.51280569795327,5.917341438726805,0.31464670390133975,0,0.447888580152735,0,,0,,0
32748035,117.48975549395304,2.552478550176643,8.511354967065847,88.42522855595014,4.203856784741053e+18,283.320594327788,-8.58574257499853,0.795903,13.2457,14.633,0.024,13.943,0.126,12.403,0.028,12.119,0.035,12.103,0.033,13.7501,0.00035,14.1154,0.005713,13.1485,0.005328,11.844,0.025,11.954,0.028,11.476,0.328,8.552,,Theia2611,117.48975549395304,Kounkel2020,5965.0,2.11137,1.09,[19],1,,,,,,,,,0,,0,,0,,0
138269027,234.4228815319917,1.1023215015282994,1.2931549276019136,5.663540523708849,4.092720618933068e+18,276.788119762204,-20.2177312552487,5.13459,16.331,20.551,0.166,18.8203,0.0626,14.641,0.03,13.957,0.023,13.669,0.039,17.6402,0.002017,18.9626,0.045182,16.3916,0.014681,,,,,,,,,Theia431,234.4228815319917,Kounkel2020,3394.0,0.28478,0.25935,[8],1,,,,,,,,,0,,0,,0,,0
291585283,95.49925860214368,0.9216839183677468,0.6899257675756904,12.731624817181102,3.1128202268709263e+18,105.912611871169,0.306749904004343,0.439525,16.0042,17.635,0.0,16.71,1.133,15.167,0.049,14.792,0.07,14.799,0.116,16.5749,0.001058,17.042,0.012132,15.9435,0.003949,14.687,0.032,14.793,0.064,12.58,,9.115,,Theia2385,95.49925860214368,Kounkel2020,5806.0,1.15882,1.04,[25],1,,,,,,,,,0,,0,,0,,0
229301865,32.35936569296281,67.96398264274922,7.284261557600954,10.93827253145354,3.325932415289218e+18,98.1854407946059,7.53558556296293,0.349303,14.3642,15.999,0.067,15.107,0.183,13.389,0.024,13.017,0.022,12.892,0.037,15.0013,0.000562,15.54,0.0029,14.3094,0.002167,12.87,0.024,12.884,0.03,12.273,0.463,9.011,,Theia1838,32.35936569296281,Kounkel2020,6070.0,3.30098,1.13,[15],1,,,,,,,,,0,,0,,0,,0
34322132,107.15193052376048,4.932303178738047,2.92639078713077,10.454341577211196,4.202303827614207e+18,283.74354405856,-10.5259246352253,1.62994,14.7754,18.773,0.166,15.729,0.229,13.715,0.043,13.233,0.029,13.145,0.042,15.4801,0.000962,16.0777,0.002576,14.6972,0.002364,,,,,,,,,Theia291,107.15193052376048,Kounkel2020,4991.0,0.759495,0.83,[19],1,,,,,,,,,0,,0,,0,,0
223489029,251.1886431509582,3.003550250286586,12.210924101101652,4.121806368097963,4.070188778188421e+18,268.750758930223,-22.605515303669,1.33327,14.7053,17.43,0.106,16.216,0.229,13.424,0.042,12.835,0.057,12.622,0.05,15.5256,0.000753,16.259,0.004132,14.6621,0.002273,,,,,,,,,Theia582,251.1886431509582,Kounkel2020,5461.0,1.07185,0.95,[11],1,,,,,,,,,0,,0,,0,,0
