tic,rp,period,mstar,rstar,tmag,teff,age
332856909,17.12093429888027,2.4302246393967946,0.526415,0.529471,16.1087,3126.0,10.252934453448216
11290977,18.774073113191807,2.4178733930333003,0.68,1.36418,13.5787,4378.0,13.7750563437811
11291127,27.694497606343937,19.068682754481173,1.14,1.54427,14.5523,6074.0,5.873705010386036
264594549,33.26617718399552,6.363770074253369,0.646716,0.676603,15.4914,3100.0,14.950777244912665
427374612,82.08781416824657,29.20067547327562,0.74,1.20287,12.6093,4651.93,11.304433079923982
427373572,30.447820620137072,4.073059842053739,0.83,1.13683,14.5254,5017.0,12.22440645351782
427393298,4.910573264365163,1.7644868986699829,1.16,2.23516,11.2827,6128.0,5.842145133282326
427458359,8.018895265361031,4.277702670876967,0.58,1.08186,14.2435,3795.2,5.730729345574263
427451372,23.573786359498783,6.87658436357584,0.61,1.2526,13.9905,3950.0,5.020503946439653
427399794,29.50784289955977,6.318093648181567,0.590433,0.602881,14.2998,3473.0,6.157230058912342
138941435,5.833997431968917,11.899274776385132,1.435,1.54354,10.6505,6731.0,7.502619538554765
50725028,17.546261993257467,8.365407151052052,0.617636,0.637455,15.5235,3093.0,5.979449374552611
332975102,15.450118213795529,2.8615591194347383,0.219347,0.2486,15.8155,2958.0,7.716923813963021
72831246,9.900747974157843,8.536986669697248,0.557059,0.563296,16.2629,3069.0,8.835766147499157
4153738,6.489131219712208,3.669223512232842,0.69,1.18219,12.9926,4419.0,7.621636508461592
50528971,9.192956238536745,6.635178271595618,0.68,1.16464,12.9581,4347.28,5.615458432874608
50663684,10.433099946410158,7.2857035713103375,0.47099,0.473235,16.6665,3029.0,11.63653486816567
50788398,27.672365686634446,6.711225634504567,0.58,1.11648,14.2904,3803.0,6.17138611376323
269118551,19.461627180598832,2.4328375439908587,0.34,1.09383,14.7136,3303.0,5.058167938957721
264679801,13.531179777000949,3.472187304536619,0.42,0.912616,14.8716,3428.0,12.621717902410444
264740720,11.25770379633303,2.1491085362972235,0.58,1.04953,14.0705,3812.0,8.441657550341974
323418995,14.696855834528794,9.311458918257616,0.52,0.950344,14.7266,3620.0,10.686546144177278
50659231,25.059298578732864,4.9491614556935,0.521498,0.524243,16.0781,3119.0,10.259661349788145
50588205,4.727071299620668,1.5390980439250024,0.568321,0.576316,15.6678,3135.0,13.31404921589436
50897635,15.481993522484666,4.426175381632285,0.661475,0.697167,15.4257,3326.0,13.655758808854833
269117429,10.412282821422709,9.339933425403537,1.06,3.02612,10.777,5874.28,14.280384630987024
449430535,22.173422972524545,26.248104008846333,0.453655,0.456672,16.0186,3225.0,5.508338612983323
264540817,4.333731505414953,29.33586288073187,0.8,0.731073,14.3155,4885.0,12.363746426688095
199780178,9.944259663608516,12.830502334877531,0.49208,0.493986,16.0124,3143.0,11.353276769672023
201369404,6.4626142675094815,21.407310920454737,1.05,2.60837,10.4189,5818.94,5.805454027504048
276664233,30.76322689939731,15.447261767315982,0.75,1.05031,15.0882,4682.0,7.383111321779462
11358355,25.863223834743188,12.52764462790658,0.582643,0.593367,16.1341,2877.0,9.528830812618942
50725333,8.553395331471336,4.714967148918805,1.11,1.18464,12.5948,6020.08,11.945125549813415
276661881,10.525859045006207,22.11506366492393,1.14,1.46057,11.5396,6079.21,14.990741832402216
50524367,3.6364809061264927,15.327230114529264,0.61,0.790502,13.5895,3927.0,14.082716866325136
388905499,6.918083340844782,6.480120089434702,1.15,2.65917,12.1826,6100.0,12.88274898084315
427379747,8.22935581457743,1.168198017252681,1.422,1.32834,9.25411,6700.0,9.662888318351293
220075639,7.546410248126512,3.572800872110242,1.176,1.57569,10.9694,6168.39,9.929500694648471
11200963,27.4362155739779,3.248581705061881,1.24,1.41335,12.2215,6310.18,12.957927672993632
332918651,28.08454756816331,10.649783224384777,0.94,1.38263,14.4263,5425.0,7.840537605713407
11458116,14.134252016756834,1.425120349426777,1.29,2.25653,8.4876,6403.45,7.295523670458626
