tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
118225876,91.20108393559096,2.6246913281833213,8.936184050945796,53.557344053719135,4.095615186367136e+18,273.566962787706,-18.5662179315876,0.74936,11.6086,12.923,0.031,12.286,0.092,10.834,0.023,10.618,0.027,10.488,0.037,12.088,0.000466,12.467,0.001874,11.5409,0.000651,,,,,,,,,Theia2357,91.20108393559096,Kounkel2020,6710.0,4.48939,1.43,[6],1,,,,,,,,,0,,0,,0
433492385,309.0295432513592,3.3053978396876253,12.852595980643857,27.01625196066612,4.1045180007403325e+18,278.829906284656,-13.8466079067982,0.344867,15.9343,18.461,0.112,17.0063,0.0465,14.892,0.043,14.493,0.042,14.405,0.082,16.6479,0.001089,17.2385,0.010724,15.8555,0.010785,,,,,,,,,Theia4013,309.0295432513592,Kounkel2020,5644.0,1.90674,1.0,"[1, 14]",2,,,,,,,,,0,,0,,0
370531958,239.88329190194943,1.1813793492185596,1.6672540276885226,8.359943180589733,2.019438891859664e+18,292.461904709171,23.1856972164702,0.829113,15.2462,17.787,0.069,15.973,0.183,14.055,0.035,13.604,0.038,13.458,0.048,16.0701,0.000554,16.8121,0.004692,15.2027,0.002568,,,,,,,,,Theia3585,239.88329190194943,Kounkel2020,5210.0,1.37141,0.89,[15],1,,,,,,,,,0,,0,,0
377691555,158.4893192461111,2.044866090051373,4.711722493459678,95.39102801357517,2.019887114610694e+18,295.116896502135,22.3286529915319,1.47057,15.6661,20.151,0.161,17.554,0.0463,14.235,,13.443,,13.334,0.043,16.7239,0.000669,17.8281,0.007702,15.6819,0.002499,,,,,,,,,Theia259,158.4893192461111,Kounkel2020,4280.0,1.01655,0.67,[15],1,,,,,,,,,0,,0,,0
427393388,10.050569248079078,2.1996617739549227,22.979345329609195,4.450787627103183,3.2095720274338437e+18,83.86858333333332,-4.865222222,,15.8631,,,17.8985,0.0506,13.647,0.026,12.967,0.032,12.557,0.028,17.4649,0.004473,17.3729,0.038109,15.8427,0.007307,12.16,0.041,11.567,0.075,9.453,,3.1,0.136,OSFC,10.0,roquette25,4308.0,0.668734,0.640989,[2],1,,,,,,,,,0,,0,,0
34110166,147.9108388168207,2.005788647974021,14.889139627170426,73.74910846511946,4.203894649174727e+18,283.812581700475,-8.17620686889138,1.70392,13.0053,14.544,0.037,13.771,0.069,12.209,0.024,11.852,0.024,11.812,0.019,13.5326,0.000293,13.9568,0.001914,12.9441,0.00057,11.662,0.026,11.776,0.026,11.472,0.262,8.442,,Theia183,147.9108388168207,Kounkel2020,5728.0,1.17966,1.02,[8],1,,,,,,,,,0,,0,,0
11401984,4.897788193684466,1.527198840123942,4.545718870271383,35.19780884209308,3.216467404151911e+18,85.2427890001332,-2.52339567152823,2.40579,16.0049,,,,,13.888,0.034,13.319,0.033,12.966,0.033,17.5732,0.002267,19.1172,0.034832,16.1005,0.006479,12.784,0.036,12.527,0.035,11.298,,8.427,,Theia13,4.897788193684466,Kounkel2020,3175.0,0.633689,0.614751,[2],1,,,,,,,,,0,,0,,0
427376425,8.570956717753488,1.9126675578251475,11.985929234571268,9.689428969635918,3.216947413992534e+18,83.65158322,-2.245623448,2.4673,15.9896,19.035,0.179,18.6967,0.061,14.288,0.028,13.656,0.035,13.32,0.032,17.3953,0.003329,18.7635,0.040216,16.0607,0.013645,13.225,0.025,13.01,0.028,11.354,,9.039,,OSFC,10.0,roquette25,3327.0,0.558393,0.552742,[2],1,,,,,,,,,0,,0,,0
1766783757,562.3413251903492,1.2824311048885415,2.2726255408083147,6.41915206473942,4.2533849001127455e+18,280.692669934877,-6.22984931845017,0.352955,16.3108,,,17.3542,0.0463,,,,,,,17.01,0.00128,17.5628,0.010226,16.2093,0.009063,,,,,,,,,Theia5212,562.3413251903492,Kounkel2020,5842.0,1.51108,1.05,[8],1,,,,,,,,,0,,0,,0
396087607,123.02687708123813,9.540004600401163,3.462736112267847,64.17032720435708,4.512853941874079e+18,287.597882149241,15.7747724784452,2.3299,11.3608,12.518,0.035,11.857,0.057,10.633,0.022,10.333,0.021,10.25,0.018,11.8012,0.000754,12.0842,0.001636,11.2371,0.001516,10.177,0.023,10.237,0.021,10.383,0.111,8.767,,Theia236,123.02687708123813,Kounkel2020,6621.0,1.56584,1.39,[9],1,,,,,,,,,0,,0,,0
117465684,165.9586907437563,3.24173337469258,28.75320442396322,10.147712701805323,4.093837623998568e+18,273.2652244268,-21.1923534398238,0.348966,15.1856,17.056,0.063,16.421,0.172,13.975,0.084,13.551,0.075,13.338,0.06,15.9982,0.000924,16.7158,0.005491,15.1323,0.004252,,,,,,,,,Theia3026,165.9586907437563,Kounkel2020,6496.0,2.90033,1.33,[6],1,,,,,,,,,0,,0,,0
235119177,141.25375446227554,3.93060549254876,1.6560376147404592,94.23438425173724,3.133157927810416e+18,102.193181368135,7.23762842500884,0.717463,14.7675,15.895,0.074,15.497,0.013,13.982,0.039,13.738,0.044,13.554,0.048,15.3153,0.000837,15.7588,0.003027,14.7058,0.003039,13.409,0.033,13.468,0.038,12.067,,8.085,,Theia2812,141.25375446227554,Kounkel2020,5824.0,1.24582,1.05,[11],1,,,,,,,,,0,,0,,0
