tic,teff,tmag,mass,radius,sigma,GAIA,ra,dec,mstar,rstar,plx,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,age,e_age,assoc,ref
50581445,8051.0,10.38,1.95,1.53643,0.0012483572954399,3.0337178857452826e+18,112.660234023407,-12.2859991917885,1.95,1.53643,2.50471,10.808,0.104,10.643,0.009,10.049,0.021,10.01,0.024,9.997,0.023,10.5371,0.000455,10.6634,0.001356,10.3371,0.000858,9.951,0.024,9.958,0.02,9.923,0.048,9.043,,105.0,,Theia_320,Kounkel+2019;Kounkel+2020
50584002,6877.0,10.454,1.493,1.7372,0.00121699699776,3.217109248360316e+18,82.0618683626947,-1.97697528461464,1.493,1.7372,2.69081,10.983,0.102,10.535,0.007,9.958,0.026,9.721,0.028,9.609,0.023,10.7773,0.000399,10.9877,0.002486,10.3677,0.003044,9.517,0.023,9.517,0.02,9.21,0.034,8.693,0.406,9.0,,Ori-Per,Kerr+2023
50589175,7973.0,10.0829,1.92,1.72679,0.0010683998236798,3.220220247790665e+18,82.1144976813669,-1.64645377641215,1.92,1.72679,2.64037,10.661,0.086,10.418,0.007,9.817,0.024,9.692,0.023,9.656,0.024,10.2654,0.00059,10.4099,0.001024,10.036,0.001146,9.582,0.023,9.582,0.021,9.593,0.053,8.383,,9.0,,Ori-Per,Kerr+2023
50619443,6386.0,10.8777,1.28,1.65265,0.0016733998015202,3.2202449868022467e+18,82.3282050528546,-1.31030683885217,1.28,1.65265,2.68894,11.922,0.209,11.304,0.014,10.265,0.022,9.98,0.024,9.906,0.023,11.2963,0.000951,11.6228,0.001928,10.8229,0.001807,9.837,0.023,9.845,0.021,9.697,0.072,8.661,0.485,9.0,,Ori-Per,Kerr+2023
50658813,5475.0,11.4807,0.96,1.56609,0.0022805150472003,3.21698877882034e+18,82.5129752702814,-2.73287653135847,0.96,1.56609,2.65505,12.189,0.324,12.363,0.04,10.727,0.022,10.292,0.023,10.213,0.023,12.0054,0.002194,12.4336,0.00736,11.4235,0.005506,10.148,0.024,10.155,0.021,10.058,0.075,8.36,,9.0,,Ori-Per,Kerr+2023
50660764,6424.0,8.9265,1.295,1.5945,0.0006002522207998,3.2090126165322936e+18,82.5289724067047,-5.90780943902111,1.295,1.5945,6.4334,9.919,0.047,9.443,0.003,8.407,0.026,8.158,0.057,8.084,0.033,9.29847,0.000213,9.58878,0.001338,8.88097,0.001252,8.038,0.023,8.071,0.02,8.054,0.02,7.883,0.209,11.0,,Taurus,Kerr+2023
50722499,7756.84,9.9859,1.83,1.95623,0.0010847820218399,3.217143535083777e+18,82.749322746684,-2.03402114670662,1.83,1.95623,3.16946,10.278,0.068,10.072,0.005,9.684,0.024,9.625,0.022,9.541,0.023,10.1262,0.000616,10.2615,0.001364,9.92045,0.00146,9.515,0.024,9.526,0.02,9.663,0.071,8.956,,52.0,,Theia_139,Kounkel+2019;Kounkel+2020
50727088,7579.0,9.2849,1.76,1.8954,0.0007021451779202,3.217138351058634e+18,82.8704123645199,-2.13161347487342,1.76,1.8954,3.57222,9.877,0.05,9.534,0.004,8.989,0.032,8.889,0.023,8.81,0.019,9.48992,0.000559,9.65083,0.00143,9.24549,0.001006,8.795,0.023,8.818,0.019,8.797,0.032,8.203,,9.0,,Ori-Per,Kerr+2023
50745567,3077.0,11.2827,0.503393,0.505427,0.0052804357343999,3.216729878197029e+18,82.9910923017977,-3.06022587422477,0.503393,0.505427,25.9443,15.243,0.168,14.717,0.172,9.452,0.051,8.765,0.055,8.538,0.044,12.7165,0.001052,14.6262,0.004286,11.3975,0.002339,8.362,0.03,8.154,0.026,8.019,0.03,7.385,0.216,16.0,4.0,FSR_1017            ,Hunt+2024
50790538,5165.14,11.6052,0.87,1.90721,0.0024119499988799,3.2171589626053284e+18,83.2065499041728,-1.96070693901064,0.87,1.90721,2.50454,13.49,0.098,12.661,0.069,10.785,0.023,10.272,0.026,10.072,0.019,12.2222,0.001803,12.7542,0.006969,11.5568,0.004978,10.008,0.023,10.032,0.021,9.702,0.053,8.341,0.281,9.0,,Ori-Per,Kerr+2023
