,tic,ra,dec,teff,plx,rstar,mstar,tmag,age,assoc,ref,rms
1062,436103249,83.79195,9.84246,3765.0,2.45997,0.922869,0.57,14.939,,OSFC,roquette25,
1063,156144758,86.15115833333333,9.862238889,3658.0,2.71274,0.912949,0.533,14.6718,,OSFC,roquette25,
1064,436008577,83.66345833333334,9.882036111,4301.0,2.51644,1.36495,0.67,13.3929,,OSFC,roquette25,0.0022576519462587374
1065,436153981,84.0466,9.94437,4688.0,0.38933,11.4281,,12.3034,,OSFC,roquette25,0.0008850689327072336
1066,436245126,84.18111,9.49597,3397.0,3.29194,0.514954,0.512638,15.3864,,OSFC,roquette25,
1067,200526369,83.0535125,10.935713888888888,4258.24,2.49146,1.2743,0.666,13.2801,,OSFC,roquette25,0.002253109133478759
1068,200587752,83.31766,10.46467,3757.0,2.2974,1.03412,0.57,14.6606,,OSFC,roquette25,
1069,436158940,84.07941666666666,10.064122222222222,4104.0,2.47113,1.42353,,13.4933,,OSFC,roquette25,0.0029261684852822933
1070,436336662,84.303956,9.759272,,,,,16.2466,,OSFC,roquette25,
1071,436161823,83.86999999999999,9.902755555555556,3346.0,,0.419269,0.413053,17.0045,,OSFC,roquette25,
1072,436153953,83.97138,10.0191,4803.0,0.515839,7.12576,,12.7375,,OSFC,roquette25,0.00118682606925824
1073,436008678,83.6727,10.13481,4512.0,0.484507,6.53779,,13.4622,,OSFC,roquette25,0.002470498800048182
1074,302671998,82.52357500000001,12.160355555555556,,,,,14.2632,,OSFC,roquette25,
1075,436008756,83.70086,10.36426,4982.68,0.468537,9.7403,,11.9425,,OSFC,roquette25,0.0007000489755443207
1076,436103246,83.77904166666666,9.816091666666669,4091.0,2.55267,1.35267,0.64,13.6804,,OSFC,roquette25,
1077,302830398,82.99361250000001,12.379847222222224,3846.0,2.45103,2.11288,,13.5111,,OSFC,roquette25,0.005007789001994986
1078,436011718,83.71808,9.680800437927246,3217.0,2.27781,0.605188,0.592301,15.9746,,OSFC,roquette25,
1079,435934703,83.50188,9.73479,4708.0,0.306168,11.8434,,12.6343,,OSFC,roquette25,
