tic,age,prad,Mp,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,rec_prob,tr_prob,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2
4205785,650.0,1.8679974913368675,4.162769142982068,38.0785114486842,3.2203567933918587e+18,80.7935157117774,-1.69776753993784,21.7553,10.705,13.988,0.039,12.532,0.016,9.445,0.024,8.784,0.057,8.6,0.019,11.7144,0.000556,12.7484,0.002214,10.7261,0.0013,8.46,0.023,8.464,0.02,8.34,0.026,8.109,0.228,Hyades,650.0,Roeser2019,3752.0,0.559429,0.553658,[3],1,,,,0.004373106254282308,0.0034541978944846617,,,0.0066314705124903,,,0,,0,,0
427346661,650.0,2.159455446293882,2.914235054217257,41.87377399753856,3.216917555379971e+18,83.4564837436246,-2.43901041667338,14.0095,13.6649,17.844,0.166,15.15,0.2,12.042,0.023,11.427,0.03,11.171,0.021,14.9607,0.000877,16.5103,0.009244,13.7424,0.002308,10.971,0.024,10.81,0.021,10.612,0.094,8.655,,Hyades,650.0,Roeser2019,3295.0,0.321655,0.301463,[2],1,41.87377399753856,2.159455446293882,,0.018790383138684932,0.015780645615073672,,,0.0066314705124903,0.009445632587573315,,0,,0,,0
424086236,650.0,3.3912934194911943,2.480532890762758,20.30459489516965,4.103477553501946e+18,279.886996352383,-14.6487858445958,7.10867,14.7703,18.519,0.171,,,13.023,0.035,12.307,0.036,12.034,0.031,16.118,0.001359,17.7678,0.015958,14.8582,0.00116,11.675,0.024,11.618,0.027,11.58,,8.456,,Hyades,650.0,Roeser2019,3226.0,0.400567,0.392121,"[1, 14]",2,20.30459489516965,3.3912934194911943,,0.04974972157344693,0.04602754904511358,,,0.0066314705124903,0.017458987946372347,,0,,0,,0
203495663,650.0,2.6991274285116806,14.28766176384562,30.092050405723043,4.251765255160416e+18,280.288533196157,-8.31871474338124,8.12807,8.92726,10.041,0.058,9.506,0.004,8.343,0.02,8.062,0.034,8.039,0.034,9.34883,0.000408,9.68525,0.001963,8.88289,0.002117,7.897,0.025,7.933,0.019,7.981,0.037,7.895,0.27,Hyades,650.0,Roeser2019,5925.0,1.38614,1.08,[8],1,,,,0.009435965877661497,0.0037836799683221506,,,0.0066314705124903,,,0,,0,,0
425192752,650.0,3.426569343515571,3.656487706972325,21.5320193928196,4.099874041584482e+18,280.306602123816,-16.2814440164099,7.23045,13.2292,16.881,0.183,15.245,0.16,11.455,0.048,10.619,0.055,10.314,0.04,14.4512,0.006383,15.6778,0.009591,13.2782,0.004297,10.054,0.031,10.235,0.031,10.239,0.121,8.235,,Hyades,650.0,Roeser2019,3488.0,0.68493,0.652725,[1],1,21.5320193928196,3.426569343515571,,0.014303229703229125,0.011765702796992726,,,0.0066314705124903,0.024222915573206133,,0,,0,,0
433107843,650.0,0.9743342390432218,0.835034439936571,50.34949202548727,4.1029171118159314e+18,278.308605544727,-15.8622765056395,7.11319,14.8312,19.044,0.175,17.1798,0.0484,13.231,0.06,12.618,0.086,12.35,0.108,16.0471,0.001225,17.4061,0.017532,14.8885,0.002567,,,,,,,,,Hyades,650.0,Roeser2019,3423.0,0.357705,0.343106,[1],1,50.34949202548727,0.9743342390432218,,0.02859831649319234,0.026664902905553747,,,0.0066314705124903,0.008897452158867853,,0,,0,,0
365748368,21.0,2.1366936262765024,20.00735596399609,3.039110969126047,3.2379879433788206e+18,81.8668887494315,6.44550635089848,10.0149,16.138,,,,,13.864,0.029,13.311,0.031,12.928,0.032,17.8247,0.002087,20.5392,0.156629,16.3267,0.011582,12.723,0.024,12.466,0.026,12.382,,8.89,,32ori,21.0,Luhman2022,2825.0,0.216096,0.185162,[10],1,,,,0.08641541082468494,0.10267096644532099,,,0.0066314705124903,,,0,,0,,0
269201061,21.0,5.231798800784181,18.87063628164521,29.864363783418984,3.2372157039640883e+18,80.9147438050716,4.99194729690218,10.4973,16.5653,,,,,14.249,0.032,13.618,0.032,13.239,0.036,18.2854,0.00331,20.8739,0.195993,16.7471,0.010475,13.0,0.024,12.709,0.026,12.05,0.341,8.642,,32ori,21.0,Luhman2022,2829.0,0.183912,0.153399,[10],1,,,,0.2943712773878895,0.3898049448693969,,,0.0066314705124903,,,0,,0,,0
365692109,21.0,2.050162620794463,3.172458878589722,22.1904054028789,3.238067069561234e+18,81.6724530040354,6.89200898064511,9.28787,16.9003,,,,,14.408,0.031,13.783,0.041,13.4,0.033,18.6095,0.003206,20.6846,0.186064,17.044,0.012153,13.155,0.028,12.881,0.028,11.68,,8.75,,32ori,21.0,Luhman2022,2917.0,0.191415,0.160603,[10],1,22.1904054028789,2.050162620794463,,0.0778640459922299,0.1130118343068224,,,0.0066314705124903,0.01058834481979568,,0,,0,,0
390698920,16.98243652461746,3.978033350182572,1.9586867678428932,34.08243138787012,1.827553050287536e+18,296.950416007235,21.9108624207413,1.08817,13.7639,15.501,0.069,14.734,0.195,12.881,0.028,12.571,0.033,12.49,0.032,14.3801,0.00058,14.8953,0.003196,13.7066,0.00166,12.396,0.031,12.486,0.031,12.241,,8.764,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,5875.0,1.44957,1.06,[15],1,34.08243138787012,3.978033350182572,,0.01642102319022579,0.013871182711352611,,,0.0066314705124903,0.03211172789571243,,0,,0,,0
390700766,16.98243652461746,2.864052482520917,3.4910070126370685,6.369970416091835,1.8275718407306127e+18,296.949847398263,22.1241627290683,1.20102,16.5573,19.709,0.17,18.2618,0.0465,15.162,0.043,14.589,0.057,14.429,0.077,17.5644,0.001098,18.5317,0.009411,16.5702,0.006455,,,,,,,,,ASCC_107,16.98243652461746,Cantat-Gaudin2020,3805.0,0.638463,0.618405,[15],1,,,,0.0692905140025637,0.0915589446955721,,,0.0066314705124903,,,0,,0,,0
