tic,age,prad,pmass,per,GAIA,ra,dec,plx,tmag,Bmag,e_Bmag,Vmag,e_Vmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,GAIAmag,e_GAIAmag,gaiabp,e_gaiabp,gaiarp,e_gaiarp,w1mag,e_w1mag,w2mag,e_w2mag,w3mag,e_w3mag,w4mag,e_w4mag,assoc,age_y,ref,teff,rstar,mstar,observed_fields,nobs,pl_period,pl_radius,delta,sigmaOptical,sigmaIR,npoints,ntransits,draw,T_retrieve_final,snr_v1,T_retrieve_v1,snr_v2,T_retrieve_v2,snr_v3,T_retrieve_v3
432797081,245.47089156850336,2.9797938513028197,23.51461309787264,12.299310754238014,4.0968355455917583e+18,277.843232382573,-16.8260876365653,0.592616,14.7402,16.86,0.112,15.376,0.309,13.897,0.028,13.651,0.027,13.544,0.036,15.2889,0.000743,15.7353,0.006729,14.6805,0.00474,,,,,,,,,Theia3610,245.47089156850336,Kounkel2020,5922.0,1.51252,1.08,[33],1,,,,,,,,,0,,0,,0,,0
52816332,22.387211385683376,2.888025597907124,18.53828787268529,8.800558291585425,3.104823822400075e+18,99.229237644928,-3.88292814750491,4.47455,13.8191,18.262,0.162,16.4325,0.0463,12.135,0.023,11.547,0.023,11.283,0.024,15.1071,0.001034,16.6215,0.006253,13.8934,0.002607,11.078,0.023,10.919,0.02,10.816,0.105,8.918,0.458,Theia55,22.387211385683376,Kounkel2020,3314.0,0.697694,0.661849,[3],1,,,,,,,,,0,,0,,0,,0
228877578,1548.8166189124795,2.4513332831564623,9.808983921374418,37.6067156217683,4.287782472868452e+18,291.478496321021,1.06134316020201,1.00268,15.3633,17.661,0.068,16.53,0.892,14.093,0.032,13.569,0.032,13.467,0.047,16.151,0.000821,16.7694,0.013595,15.2281,0.007036,13.284,0.028,13.317,0.035,12.481,,8.903,,Theia7217,1548.8166189124795,Kounkel2020,5093.0,1.03985,0.85,[21],1,,,,,,,,,0,,0,,0,,0
352859491,645.6542290346563,2.5732153843727747,12.108786066808076,55.81020268822526,4.519967236666004e+18,288.613848779631,21.257137477963,1.50338,15.608,20.158,0.164,16.847,1.133,14.127,0.031,13.4,0.027,13.237,0.034,16.6287,0.000713,17.6372,0.005481,15.6097,0.002288,,,,,,,,,Theia466,645.6542290346563,Kounkel2020,4659.0,0.924788,0.74,"[7, 32]",2,,,,,,,,,0,,0,,0,,0
225652688,32.35936569296281,1.297944087404821,2.38009175668305,9.191234113061135,4.258685340744667e+18,281.320076247257,-2.80877304402251,0.769205,15.4256,18.833,0.182,17.0273,0.0462,14.103,0.045,13.646,0.057,13.448,0.086,16.3873,0.000792,17.3005,0.008075,15.4245,0.002516,,,,,,,,,Theia1841,32.35936569296281,Kounkel2020,5581.0,1.59756,0.99,[20],1,,,,,,,,,0,,0,,0,,0
371053343,660.6934480075965,2.21491793314786,5.76485352253126,10.996663058181058,2.0177270209801352e+18,292.687144283806,20.2904850720969,0.322698,15.4122,18.494,0.169,16.822,1.133,14.051,0.034,13.521,0.033,13.41,0.041,16.3401,0.000667,17.1835,0.008562,15.376,0.002199,,,,,,,,,NGC_6802,660.6934480075965,Cantat-Gaudin2020,5803.0,3.38958,1.04,[10],1,,,,,,,,,0,,0,,0,,0
180071562,104.71285480508983,2.1083522539672197,4.440476381474662,54.318054339374456,4.26886654358237e+18,287.052112889578,2.76800904887386,0.556733,16.0016,19.822,0.162,17.0429,0.0471,14.288,,14.642,0.062,14.454,0.11,16.6997,0.00103,17.2944,0.021664,15.943,0.00595,,,,,,,,,Theia2509,104.71285480508983,Kounkel2020,5985.0,1.11751,1.1,[21],1,,,,,,,,,0,,0,,0,,0
337085308,75.85775750291836,2.5031964182110165,10.736575919139948,44.19972506268918,3.3452394958748083e+18,92.5530515380138,14.5055690042808,0.767726,14.5092,16.117,0.037,15.269,0.103,13.683,0.033,13.348,0.037,13.229,0.027,15.0689,0.00066,15.5193,0.003059,14.4423,0.002174,13.17,0.026,13.233,0.031,12.28,,8.629,,Theia2223,75.85775750291836,Kounkel2020,6053.0,1.3172,1.13,[13],1,,,,,,,,,0,,0,,0,,0
125593501,114.8153621496884,3.124641695043056,29.414092895663384,33.977019193921414,3.051555950067896e+18,105.907063294981,-8.32642412459386,0.991196,14.8671,16.571,0.109,15.616,0.206,13.987,0.029,13.561,0.043,13.418,0.037,15.4822,0.000821,15.9976,0.004428,14.8059,0.004511,13.407,0.025,13.516,0.03,12.526,,8.957,,Theia294,114.8153621496884,Kounkel2020,5339.0,1.00089,0.92,[2],1,,,,,,,,,0,,0,,0,,0
436337191,10.0,1.2448458930563264,2.029016304076399,7.159276526633586,3.3394374760933156e+18,84.25352,9.81792,2.56801,11.4416,13.287,0.031,12.362,0.069,10.585,0.024,10.152,0.025,9.99,0.023,12.0448,0.002614,12.5588,0.009805,11.3925,0.007725,9.916,0.023,9.928,0.021,9.846,0.057,8.568,,OSFC,10.0,roquette25,5248.11,2.01012,0.9,"[5, 24]",2,,,,,,,,,0,,0,,0,,0
